ind;Corpus;Volume;Date;Type1
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1453_03_1601.jpg_full_full_0_default.jpg;MOMCA;;1453;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1457_04_0701.jpg_full_full_0_default.jpg;MOMCA;;1457;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1457_06_2101.jpg_full_full_0_default.jpg;MOMCA;;1457;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1459_02_2501.jpg_full_full_0_default.jpg;MOMCA;;1459;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1495_01_3001.jpg_full_full_0_default.jpg;MOMCA;;1495;
_iiif_2_img__AT-OeStA-HHStA__AUR-AggsbachOCart__OeStA-HHStA_AUR-AggsbachOCart_1500_06_1901.jpg_full_full_0_default.jpg;MOMCA;;1500;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AltenburgOSB__OeStA-HHStA_AUR-AltenburgOSB_12820905.jpg_full_full_0_default.jpg;MOMCA;;1282;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-AltenburgOSB__OeStA-HHStA_AUR-AltenburgOSB_13080101-2.jpg_full_full_0_default.jpg;MOMCA;;1308;Pape
_iiif_2_img__AT-OeStA-HHStA__AUR-TegernseeOSB__HHSTA_Tegernsee_1456_11_27.jpg_full_full_0_default.jpg;MOMCA;;1456;Pape
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_11440725.jpg_full_full_0_default.jpg;MOMCA;;1144;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_1200-1204.jpg_full_full_0_default.jpg;MOMCA;;1204;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_1210.jpg_full_full_0_default.jpg;MOMCA;;1210;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12100726.jpg_full_full_0_default.jpg;MOMCA;;1210;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_1223.jpg_full_full_0_default.jpg;MOMCA;;1223;Empereur
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12230304.jpg_full_full_0_default.jpg;MOMCA;;1223;Pape
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12370309.jpg_full_full_0_default.jpg;MOMCA;;1237;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12370329.jpg_full_full_0_default.jpg;MOMCA;;1237;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12521123-1.jpg_full_full_0_default.jpg;MOMCA;;1252;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12521123-2.jpg_full_full_0_default.jpg;MOMCA;;1252;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12600207.jpg_full_full_0_default.jpg;MOMCA;;1260;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12620922.jpg_full_full_0_default.jpg;MOMCA;;1262;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12650224.jpg_full_full_0_default.jpg;MOMCA;;1265;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12650715-1.jpg_full_full_0_default.jpg;MOMCA;;1265;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12660316.jpg_full_full_0_default.jpg;MOMCA;;1266;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12720527.jpg_full_full_0_default.jpg;MOMCA;;1272;Pape
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12751204.jpg_full_full_0_default.jpg;MOMCA;;1275;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12760621.jpg_full_full_0_default.jpg;MOMCA;;1276;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12791223.jpg_full_full_0_default.jpg;MOMCA;;1279;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12810501.jpg_full_full_0_default.jpg;MOMCA;;1281;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12810520.jpg_full_full_0_default.jpg;MOMCA;;1281;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12810525.jpg_full_full_0_default.jpg;MOMCA;;1281;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12820529.jpg_full_full_0_default.jpg;MOMCA;;1282;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12820605.jpg_full_full_0_default.jpg;MOMCA;;1282;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12830406.jpg_full_full_0_default.jpg;MOMCA;;1283;
_iiif_2_img__AT-StiAA__Urkunden__StiAA_Urkunden_12830525.jpg_full_full_0_default.jpg;MOMCA;;1283;Pape
